Plant,PlantURL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Category
Florence Fennel Seeds,https://www.theseedcollection.com.au/all-products?gn=Florence Fennel Seeds&gg=2340,1,1,1,0,0,0,0,0,1,1,1,1,vegetable;herb
Galangal Rhizomes,https://www.theseedcollection.com.au/all-products?gn=Galangal Rhizomes&gg=2464,0,0,0,0,0,0,0,0,0,0,1,1,vegetable;herb
Garland Seeds,https://www.theseedcollection.com.au/all-products?gn=Garland Seeds&gg=2271,0,1,1,1,0,0,0,0,1,1,1,0,vegetable;flower
Garlic Bulbs,https://www.theseedcollection.com.au/all-products?gn=Garlic Bulbs&gg=2272,0,1,1,1,1,1,0,0,0,0,0,0,vegetable
Ginger Rhizomes,https://www.theseedcollection.com.au/all-products?gn=Ginger Rhizomes&gg=2462,0,0,0,0,0,0,0,0,0,0,1,1,vegetable;herb
Goji Berry Seeds,https://www.theseedcollection.com.au/all-products?gn=Goji Berry Seeds&gg=2496,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Gooseberry Canes,https://www.theseedcollection.com.au/all-products?gn=Gooseberry Canes&gg=2998,0,0,0,0,0,1,1,1,0,0,0,0,vegetable
Gourd Seeds,https://www.theseedcollection.com.au/all-products?gn=Gourd Seeds&gg=2275,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Horseradish Roots,https://www.theseedcollection.com.au/all-products?gn=Horseradish Roots&gg=2344,0,0,0,0,0,0,0,1,1,1,1,0,vegetable
Jerusalem Artichoke Tubers,https://www.theseedcollection.com.au/all-products?gn=Jerusalem Artichoke Tubers&gg=2651,0,0,0,0,0,1,1,1,1,1,0,0,vegetable
Kale Seeds,https://www.theseedcollection.com.au/all-products?gn=Kale Seeds&gg=2278,1,1,1,1,0,0,0,0,0,0,0,0,vegetable
Kohlrabi Seeds,https://www.theseedcollection.com.au/all-products?gn=Kohlrabi Seeds&gg=2279,1,1,1,0,0,0,0,1,1,1,1,1,vegetable
Leek Seeds,https://www.theseedcollection.com.au/all-products?gn=Leek Seeds&gg=2282,1,1,1,1,0,0,0,0,1,1,1,1,vegetable
Lettuce Seeds,https://www.theseedcollection.com.au/all-products?gn=Lettuce Seeds&gg=2283,1,1,1,1,1,0,0,0,1,1,1,1,vegetable
Luffa Seeds,https://www.theseedcollection.com.au/all-products?gn=Luffa Seeds&gg=2286,0,0,0,0,0,0,0,0,0,1,1,1,vegetable
Madagascar Bean Seeds,https://www.theseedcollection.com.au/all-products?gn=Madagascar Bean Seeds&gg=2858,1,0,0,0,0,0,0,0,0,1,1,1,vegetable
Malabar Spinach Seeds,https://www.theseedcollection.com.au/all-products?gn=Malabar Spinach Seeds&gg=2476,1,0,0,0,0,0,0,0,1,1,1,1,vegetable
Mangel Wurzel Seeds,https://www.theseedcollection.com.au/all-products?gn=Mangel Wurzel Seeds&gg=2287,1,1,1,1,0,0,0,0,1,1,1,1,vegetable
Mibuna Seeds,https://www.theseedcollection.com.au/all-products?gn=Mibuna Seeds&gg=2862,1,1,1,1,1,1,1,1,1,1,1,1,vegetable
Mizuna Seeds,https://www.theseedcollection.com.au/all-products?gn=Mizuna Seeds&gg=2290,1,1,1,1,1,1,1,1,1,1,1,1,vegetable
