Plant,PlantURL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Category
Celosia Seeds,https://www.theseedcollection.com.au/all-products?gn=Celosia Seeds&gg=2248,0,0,0,0,0,0,0,0,0,1,1,1,flower
Chincherinchee Bulbs,https://www.theseedcollection.com.au/all-products?gn=Chincherinchee Bulbs&gg=2914,0,0,1,1,1,1,0,0,0,0,0,0,flower
Chinese Forget Me Not Seeds,https://www.theseedcollection.com.au/all-products?gn=Chinese Forget Me Not Seeds&gg=2339,0,0,0,0,0,0,0,0,1,1,1,1,flower
Chrysanthemum Seeds,https://www.theseedcollection.com.au/all-products?gn=Chrysanthemum Seeds&gg=2384,1,0,0,0,0,0,0,0,1,1,1,1,flower
Coleus Seeds,https://www.theseedcollection.com.au/all-products?gn=Coleus Seeds&gg=2877,1,1,0,0,0,0,0,0,1,1,1,1,flower
Coreopsis Seeds,https://www.theseedcollection.com.au/all-products?gn=Coreopsis Seeds&gg=2474,0,1,1,1,0,0,0,0,1,1,1,0,flower
Cornflower Seeds,https://www.theseedcollection.com.au/all-products?gn=Cornflower Seeds&gg=2257,0,0,1,1,1,0,0,0,1,1,1,0,flower
Cosmos Seeds,https://www.theseedcollection.com.au/all-products?gn=Cosmos Seeds&gg=2258,0,0,0,0,0,0,0,0,1,1,1,1,flower
Crocus Corms,https://www.theseedcollection.com.au/all-products?gn=Crocus Corms&gg=2921,0,1,1,1,1,0,0,0,0,0,0,0,flower
Daffodil Bulbs,https://www.theseedcollection.com.au/all-products?gn=Daffodil Bulbs&gg=2375,0,0,1,1,1,1,0,0,0,0,0,0,flower
Dahlia Seeds,https://www.theseedcollection.com.au/all-products?gn=Dahlia Seeds&gg=2261,0,0,0,0,0,0,0,0,1,1,1,1,flower
Dahlia Tubers,https://www.theseedcollection.com.au/all-products?gn=Dahlia Tubers&gg=2262,0,0,0,0,0,0,0,0,1,1,1,0,flower
Delphinium Seeds,https://www.theseedcollection.com.au/all-products?gn=Delphinium Seeds&gg=2263,0,1,1,1,0,0,0,0,1,1,0,0,flower
Dianthus Seeds,https://www.theseedcollection.com.au/all-products?gn=Dianthus Seeds&gg=2264,0,1,1,1,0,0,0,0,1,1,1,0,flower
Dichondra Seeds,https://www.theseedcollection.com.au/all-products?gn=Dichondra Seeds&gg=2864,1,1,0,0,0,0,0,0,1,1,1,1,flower
Dutch Iris Bulbs,https://www.theseedcollection.com.au/all-products?gn=Dutch Iris Bulbs&gg=2615,0,0,1,1,1,1,0,0,0,0,0,0,flower
Echinops Seeds,https://www.theseedcollection.com.au/all-products?gn=Echinops Seeds&gg=2469,1,1,1,0,0,0,0,0,0,1,1,1,flower
Everlasting Daisy Seeds,https://www.theseedcollection.com.au/all-products?gn=Everlasting Daisy Seeds&gg=2269,1,1,1,1,0,0,0,0,1,1,1,1,flower
Everlasting Sweetpea Seeds,https://www.theseedcollection.com.au/all-products?gn=Everlasting Sweetpea Seeds&gg=2475,0,1,1,1,0,0,0,0,1,1,1,0,flower
Forget Me Not Seeds,https://www.theseedcollection.com.au/all-products?gn=Forget Me Not Seeds&gg=2223,1,1,1,1,0,0,0,0,0,0,0,1,flower
Four 'O' Clocks Seeds,https://www.theseedcollection.com.au/all-products?gn=Four 'O' Clocks Seeds&gg=2352,0,0,0,0,0,0,0,0,1,1,1,0,flower
Foxglove Seeds,https://www.theseedcollection.com.au/all-products?gn=Foxglove Seeds&gg=2354,0,1,1,1,0,0,0,0,0,0,0,0,flower
Freesia Bulbs,https://www.theseedcollection.com.au/all-products?gn=Freesia Bulbs&gg=2607,0,0,1,1,1,1,0,0,0,0,0,0,flower
Gladiolus Corms,https://www.theseedcollection.com.au/all-products?gn=Gladiolus Corms&gg=2659,0,0,0,0,0,0,0,1,1,1,0,0,flower
Globe Amaranth Seeds,https://www.theseedcollection.com.au/all-products?gn=Globe Amaranth Seeds&gg=2273,0,0,0,0,0,0,0,0,1,1,1,0,flower
Godetia Seeds,https://www.theseedcollection.com.au/all-products?gn=Godetia Seeds&gg=2274,0,1,1,1,0,0,0,0,1,1,0,0,flower
Golden Marguerite Seeds,https://www.theseedcollection.com.au/all-products?gn=Golden Marguerite Seeds&gg=2470,0,0,0,0,0,0,0,1,1,1,1,0,flower
Gypsophila Seeds,https://www.theseedcollection.com.au/all-products?gn=Gypsophila Seeds&gg=2276,1,1,1,1,1,0,0,1,1,1,1,1,flower
Hollyhock Seeds,https://www.theseedcollection.com.au/all-products?gn=Hollyhock Seeds&gg=2355,1,1,1,1,0,0,0,0,0,0,0,0,flower
Honesty Seeds,https://www.theseedcollection.com.au/all-products?gn=Honesty Seeds&gg=2356,0,1,1,1,0,0,0,0,1,1,1,0,flower
Hyacinth Bulbs,https://www.theseedcollection.com.au/all-products?gn=Hyacinth Bulbs&gg=2377,0,0,1,1,1,1,0,0,0,0,0,0,flower
Impatiens Seeds,https://www.theseedcollection.com.au/all-products?gn=Impatiens Seeds&gg=2358,0,1,1,1,0,0,0,0,1,1,0,0,flower
Ixia Bulbs,https://www.theseedcollection.com.au/all-products?gn=Ixia Bulbs&gg=2605,0,0,1,1,1,1,0,0,0,0,0,0,flower
Jonquil Bulbs,https://www.theseedcollection.com.au/all-products?gn=Jonquil Bulbs&gg=2376,0,0,1,1,1,1,0,0,0,0,0,0,flower
Lachenalia Bulbs,https://www.theseedcollection.com.au/all-products?gn=Lachenalia Bulbs&gg=2923,0,0,1,1,1,1,0,0,0,0,0,0,flower
Larkspur Seeds,https://www.theseedcollection.com.au/all-products?gn=Larkspur Seeds&gg=2280,0,1,1,1,0,0,0,0,1,1,0,0,flower
Leucocoryne Bulbs,https://www.theseedcollection.com.au/all-products?gn=Leucocoryne Bulbs&gg=2922,0,0,1,1,1,1,0,0,0,0,0,0,flower
Lily Bulbs,https://www.theseedcollection.com.au/all-products?gn=Lily Bulbs&gg=2284,0,0,0,0,0,1,1,1,1,0,0,0,flower
Linaria Seeds,https://www.theseedcollection.com.au/all-products?gn=Linaria Seeds&gg=2357,0,1,1,1,0,0,0,0,1,1,1,0,flower
Livingstone Daisy Seeds,https://www.theseedcollection.com.au/all-products?gn=Livingstone Daisy Seeds&gg=2359,0,1,1,1,0,0,0,0,1,1,0,0,flower
Lobelia Seeds,https://www.theseedcollection.com.au/all-products?gn=Lobelia Seeds&gg=2285,0,1,1,1,0,0,0,0,1,1,0,0,flower
Lupin Seeds,https://www.theseedcollection.com.au/all-products?gn=Lupin Seeds&gg=2360,0,0,1,1,1,0,0,0,1,1,1,0,flower
Marigold Seeds,https://www.theseedcollection.com.au/all-products?gn=Marigold Seeds&gg=2288,0,0,0,0,0,0,0,0,1,1,1,1,flower
Muscari Bulbs,https://www.theseedcollection.com.au/all-products?gn=Muscari Bulbs&gg=2604,0,0,1,1,1,1,0,0,0,0,0,0,flower
Nigella Seeds,https://www.theseedcollection.com.au/all-products?gn=Nigella Seeds&gg=2293,0,1,1,1,0,0,0,0,1,1,0,0,flower
Pansy Seeds,https://www.theseedcollection.com.au/all-products?gn=Pansy Seeds&gg=2297,1,1,1,1,0,0,0,0,1,1,0,0,flower
Paper Daisy Seeds,https://www.theseedcollection.com.au/all-products?gn=Paper Daisy Seeds&gg=2298,1,1,1,1,0,0,0,0,1,1,1,1,flower
Peacock Iris Bulbs,https://www.theseedcollection.com.au/all-products?gn=Peacock Iris Bulbs&gg=2916,0,1,1,1,1,1,0,0,0,0,0,0,flower
Penstemon Seeds,https://www.theseedcollection.com.au/all-products?gn=Penstemon Seeds&gg=2383,0,0,1,1,0,0,0,1,1,1,0,0,flower
Peony Herbaceous,https://www.theseedcollection.com.au/all-products?gn=Peony Herbaceous&gg=3010,0,0,0,0,0,1,1,1,0,0,0,0,flower
Petunia Seeds,https://www.theseedcollection.com.au/all-products?gn=Petunia Seeds&gg=2304,0,0,0,0,0,0,0,0,1,1,1,1,flower
Phacelia Seeds,https://www.theseedcollection.com.au/all-products?gn=Phacelia Seeds&gg=2950,0,1,1,1,0,0,0,0,1,1,1,0,flower
Phlox Seeds,https://www.theseedcollection.com.au/all-products?gn=Phlox Seeds&gg=2305,0,0,0,0,0,0,0,0,1,1,1,1,flower
Pincushion Flower Seeds,https://www.theseedcollection.com.au/all-products?gn=Pincushion Flower Seeds&gg=2382,0,1,1,1,0,0,0,0,1,1,1,0,flower
Poppy Seeds,https://www.theseedcollection.com.au/all-products?gn=Poppy Seeds&gg=2387,1,1,1,1,0,0,0,0,0,0,0,0,flower
Ranunculus Corms,https://www.theseedcollection.com.au/all-products?gn=Ranunculus Corms&gg=2379,0,0,1,1,1,1,0,0,0,0,0,0,flower
Rose (bare-rooted),https://www.theseedcollection.com.au/all-products?gn=Rose (bare-rooted)&gg=3001,0,0,0,0,0,1,1,1,0,0,0,0,flower
Salvia Seeds,https://www.theseedcollection.com.au/all-products?gn=Salvia Seeds&gg=2316,0,0,0,0,0,0,0,0,1,1,1,1,flower
Schizanthus Seeds,https://www.theseedcollection.com.au/all-products?gn=Schizanthus Seeds&gg=2381,1,1,1,0,0,0,0,0,0,1,1,1,flower
Snapdragon Seeds,https://www.theseedcollection.com.au/all-products?gn=Snapdragon Seeds&gg=2380,0,1,1,1,0,0,0,0,1,1,1,1,flower
Snowflakes Bulbs,https://www.theseedcollection.com.au/all-products?gn=Snowflakes Bulbs&gg=2608,0,0,1,1,1,1,0,0,0,0,0,0,flower
Spring Star Bulbs,https://www.theseedcollection.com.au/all-products?gn=Spring Star Bulbs&gg=2610,0,0,1,1,1,1,0,0,0,0,0,0,flower
Star of Bethleham Bulbs,https://www.theseedcollection.com.au/all-products?gn=Star of Bethleham Bulbs&gg=2915,0,0,1,1,1,1,0,0,0,0,0,0,flower
Statice Seeds,https://www.theseedcollection.com.au/all-products?gn=Statice Seeds&gg=2321,0,1,1,1,0,0,0,0,1,1,0,0,flower
Stock Seeds,https://www.theseedcollection.com.au/all-products?gn=Stock Seeds&gg=2322,1,1,1,1,0,0,0,0,0,0,0,0,flower
Sunflower Seeds,https://www.theseedcollection.com.au/all-products?gn=Sunflower Seeds&gg=2325,0,0,0,0,0,0,0,0,1,1,1,1,flower
Sweet William Seeds,https://www.theseedcollection.com.au/all-products?gn=Sweet William Seeds&gg=2327,0,1,1,1,0,0,0,0,1,1,1,0,flower
Sweetpea Seeds,https://www.theseedcollection.com.au/all-products?gn=Sweetpea Seeds&gg=2328,1,1,1,1,0,0,0,0,1,1,0,0,flower
Tritonia Bulbs,https://www.theseedcollection.com.au/all-products?gn=Tritonia Bulbs&gg=2918,0,0,1,1,1,1,0,0,0,0,0,0,flower
Tulip Bulbs,https://www.theseedcollection.com.au/all-products?gn=Tulip Bulbs&gg=2378,0,0,1,1,1,1,0,0,0,0,0,0,flower
Verbena Seeds,https://www.theseedcollection.com.au/all-products?gn=Verbena Seeds&gg=2398,1,0,0,0,0,0,0,0,1,1,1,1,flower
Vinca Seeds,https://www.theseedcollection.com.au/all-products?gn=Vinca Seeds&gg=2399,0,0,0,0,0,0,0,0,1,1,1,1,flower
Viola Seeds,https://www.theseedcollection.com.au/all-products?gn=Viola Seeds&gg=2333,1,1,1,0,0,0,0,0,1,0,0,0,flower
Wallflower Seeds,https://www.theseedcollection.com.au/all-products?gn=Wallflower Seeds&gg=2334,1,1,1,1,0,0,0,0,0,0,0,0,flower
Zinnia Seeds,https://www.theseedcollection.com.au/all-products?gn=Zinnia Seeds&gg=2337,0,0,0,0,0,0,0,0,1,1,1,1,flower
