Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1954,25.86,-3.51,-29.25,20.12,-33.50,2.56,-25.02,-10.90,-24.10,-8.03,50.13,33.15
1955,-17.65,50.51,2.67,-24.75,2.50,37.31,-9.47,46.03,9.76,24.11,-4.02,13.26
1956,29.44,-18.87,52.64,41.46,63.85,37.08,17.40,5.50,10.62,26.79,-2.87,-21.35
1957,-34.56,24.95,-3.88,-18.93,-28.25,7.18,-8.09,-26.94,-9.23,-0.79,-8.04,-3.19
1958,-17.22,13.28,-17.72,-33.42,30.72,-27.52,22.14,36.11,-6.74,34.30,11.39,-20.74
1959,-15.11,15.85,20.62,-18.52,-47.40,-4.23,-32.89,-7.67,15.53,5.39,-18.52,9.79
1960,0.16,12.47,-16.63,26.45,65.87,-5.83,24.78,-12.06,43.22,-27.53,33.63,-11.61
1961,-21.34,-10.50,10.54,25.39,-34.27,1.24,4.17,-13.90,-17.66,-18.63,-8.05,7.41
1962,20.16,-8.63,-15.48,-29.38,24.21,10.40,-26.25,-2.49,3.85,3.14,-24.82,9.98
1963,55.97,-10.23,-7.50,-29.33,42.20,4.63,12.65,-11.10,8.26,-14.08,-26.43,-21.04
1964,-27.67,10.06,-16.97,26.52,-19.57,17.15,52.48,-1.20,38.02,32.04,-3.34,12.00
1965,-30.83,-28.03,-24.90,2.74,-6.61,-30.50,3.43,12.76,-13.25,-34.47,22.12,-3.21
1966,-13.23,18.23,10.25,-20.24,-26.56,-14.00,11.51,-4.85,13.61,10.39,2.68,62.13
1967,-21.15,-15.53,-21.43,-40.30,-30.38,-27.14,-23.77,-0.62,-24.80,-41.60,-34.05,-14.23
1968,-7.91,-22.80,-7.47,16.38,53.02,14.83,-9.21,18.56,-32.72,10.35,6.15,6.54
1969,-19.00,43.20,33.63,-9.54,11.61,-25.81,-1.74,-20.26,7.73,-30.49,8.39,-3.94
1970,28.77,-18.40,44.70,41.52,2.01,-5.57,-23.37,35.35,-0.27,-33.34,30.02,23.50
1971,19.58,22.96,-11.14,28.97,13.86,0.23,-32.82,-20.54,0.84,8.78,47.97,7.00
1972,9.44,41.62,-24.83,-3.43,-32.69,-31.87,-11.97,-9.61,-35.87,-29.13,-5.46,-44.13
1973,9.84,109.09,13.89,5.51,-0.94,21.46,-15.28,17.39,12.86,48.93,9.29,2.96
1974,44.40,7.76,-1.85,66.46,40.78,-14.23,43.50,21.09,23.22,31.08,-2.52,-17.55
1975,-8.72,-14.17,7.38,-19.04,-5.19,-10.28,2.51,16.78,33.73,88.15,-9.45,15.05
1976,-14.22,-0.78,-12.67,-29.42,-45.95,-2.75,-40.23,0.25,13.96,21.77,21.79,-4.59
1977,-2.79,10.76,-3.75,-11.52,0.39,34.53,-12.17,-42.51,-19.19,-35.44,-2.85,-31.08
1978,0.64,-13.11,16.20,9.92,19.17,34.76,25.39,-4.03,17.99,-11.21,33.49,16.25
1979,9.74,-7.05,-8.44,-5.60,-3.47,-25.25,-38.73,8.96,33.17,11.59,-6.76,-34.41
1980,6.82,-25.64,-22.24,17.58,-18.44,8.36,-3.73,-12.94,-11.13,18.14,-13.60,6.71
