animal_taxon_name,Species,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of Records,Victoria : Conservation Status,EPBC Act Threatened Species,Weeds of National Significance (WoNS) as at Feb. 2013,VIC State Notifiable Pests,image_url,summary
Tetranychus urticae,https://biodiversity.org.au/afd/taxa/1f0df73c-a03c-4611-8314-5516ec577580,Animalia,Arthropoda,Arachnida,Trombidiformes,Tetranychidae,Tetranychus,,3,,,,,https://images.ala.org.au/image/proxyImage?imageId=0e95bc81-b324-4d70-91a1-dce5dbdbdea9,"Tetranychus urticae is a species of plant-feeding mite generally considered to be a pest. It is the most widely known member of the family Tetranychidae or spider mites. Its genome was fully sequenced in 2011, and was the first genome sequence from any chelicerate."
Pieris rapae,https://biodiversity.org.au/afd/taxa/af327fdd-3604-4fde-b911-ba0150407425,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Cabbage White Butterfly,5726,,,,,https://images.ala.org.au/image/proxyImage?imageId=a5fb0b40-a8c2-4779-82c5-320efa6c134d,"Pieris rapae is a small-to-medium-sized butterfly species of the whites-and-yellows family Pieridae. It is known in Europe as the small white, in North America and the United Kingdom as the cabbage white or cabbage butterfly, on several continents as the small cabbage white, and in New Zealand as the white butterfly…"
Etiella zinckenella,https://biodiversity.org.au/afd/taxa/f953448c-399c-4ff7-923d-825b6d2a87b1,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Etiella,,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=fda2d8d6-2009-4416-a82a-b953b89fb8d7,"Etiella zinckenella, the pulse pod borer moth, is a moth of the family Pyralidae. It is found in southern and eastern Europe and in the tropics and subtropics of Africa and Asia. They have also been introduced to North America and Australia. It is usually a minor pest for many legumes, but can be a serious pest."
Cadra cautella,https://biodiversity.org.au/afd/taxa/3de71322-259e-4d79-a401-5d201c734994,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Cadra,Tropical Warehouse Moth,3,,,,,https://images.ala.org.au/image/proxyImage?imageId=3c84b11b-28b2-409f-aee8-646dd09864b6,"The almond moth or tropical warehouse moth is a small, stored-product pest. Almond moths infest flour, bran, oats, and other grains, as well as dried fruits. It belongs to the family of snout moths (Pyralidae), and more specifically to the tribe Phycitini of the huge snout moth subfamily Phycitinae…"
Rhopalosiphum padi,https://biodiversity.org.au/afd/taxa/0c0758d0-7604-4bb9-b092-ce30e61a3e81,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Rhopalosiphum,Wheat Aphid,4,,,,,https://images.ala.org.au/image/proxyImage?imageId=37b6073f-721d-45a4-a6c0-b658d565517c,"Bird cherry-oat aphid is an aphid in the superfamily Aphidoidea in the order Hemiptera. It is a true bug and sucks sap from plants. It is considered a major pest in cereal crops, especially in temperate regions, as well as other hosts in parts of Northern Europe. It is the principal vector of many viruses in economically important field crops."
Rhopalosiphum maidis,https://biodiversity.org.au/afd/taxa/6a1cd5fc-dab2-44dc-806b-cfdeb483b272,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Rhopalosiphum,Corn Aphid,3,,,,,https://images.ala.org.au/image/proxyImage?imageId=4800cc28-05b0-476c-b752-de572e778344,"Rhopalosiphum maidis, common names corn leaf aphid and corn aphid, is an insect, and a pest of maize and other crops. It has a nearly worldwide distribution and is typically found in agricultural fields, grasslands, and forest-grassland zones. Among aphids that feed on maize, it is the most commonly encountered and most economically damaging, particularly in tropical and warmer temperate areas…"
Tribolium castaneum,https://biodiversity.org.au/afd/taxa/eceb49e6-26b4-4aaf-bc46-cdf92db6fd3e,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,Red Flour Beetle,1,,,,,https://images.ala.org.au/image/proxyImage?imageId=80ecaddf-8903-46a4-af1c-35627122c14b,"The red flour beetle is a species of beetle in the family Tenebrionidae, the darkling beetles. The red flour beetle, and other closely related beetles like Gnatocerus cornutus, are a worldwide pest of stored products, particularly food grains, and a model organism for ethological and food safety research."
Zizina otis,https://biodiversity.org.au/afd/taxa/eb236480-52c4-4b0e-86ea-4e66c7775d6f,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Zizina,Common Grass-blue,4505,,,,,https://images.ala.org.au/image/proxyImage?imageId=bac0a60d-3dca-4121-9140-564e8e985c23,"Zizina otis, the lesser grass blue, is a species of blue (Lycaenidae) butterfly found in south and southeast Asia. The species was first described by Johan Christian Fabricius in 1787. The lesser grass blue is often misidentified as Zizina labradus, the common grass blue."
Plautia affinis,https://biodiversity.org.au/afd/taxa/a39e543c-db67-4dbf-85bd-8293dd016a5f,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Plautia,Green Stink Bug,17,,,,,https://images.ala.org.au/image/proxyImage?imageId=300f777f-703e-4931-8320-a371cf2bc097,"Plautia affinis is a species of stink bug found mainly in Queensland and New South Wales, Australia. It was first described in 1851 as Pentatoma affinis by William Sweetland Dallas. It is small, bright green and has brown hemelytra."
Icerya purchasi,https://biodiversity.org.au/afd/taxa/0947ed77-b443-46e1-9b7d-0b15ce4d2a6c,Animalia,Arthropoda,Insecta,Hemiptera,Monophlebidae,Icerya,Cottony Cushion Scale,216,,,,,https://images.ala.org.au/image/proxyImage?imageId=a50d467e-c4ae-430a-b08e-815be7be6ffa,"Icerya purchasi is a scale insect that feeds on more than 80 families of woody plants, most notably on Citrus and Pittosporum. Originally described in 1878 from specimens collected in New Zealand as pests of kangaroo acacia and named by W.M. Maskell ""after the Rev. Dr. Purchas who, [he] believe[d], first found it"", it is now found worldwide where citrus crops are grown…"
Trialeurodes vaporariorum,https://biodiversity.org.au/afd/taxa/52046641-c09a-48b4-9a6f-1cd068c57e5f,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Trialeurodes,Whitefly,17,,,,,https://images.ala.org.au/image/proxyImage?imageId=05b5bba5-2d81-40ce-be79-ce79fa0c4096,"Trialeurodes vaporariorum, commonly known as the glasshouse whitefly or greenhouse whitefly, is an insect that inhabits the world's temperate regions. Like various other whiteflies, it is a primary insect pest of many fruit, vegetable and ornamental crops. It is frequently found in glasshouses (greenhouses), polytunnels, and other protected horticultural environments…"
Acanthoscelides obtectus,https://biodiversity.org.au/afd/taxa/46dd1601-c928-45f7-b1c4-4d44e1fce5d8,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Acanthoscelides,Bean Weevil,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=ce526d69-f99b-424d-b390-0c77332548d7,"Acanthoscelides obtectus, the bean weevil, is a species of bruchid beetle. The species was described in 1831 by Thomas Say."
Plodia interpunctella,https://biodiversity.org.au/afd/taxa/56101870-5f8e-4e16-a8ef-0d2967772472,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Plodia,Snout Moth,55,,,,,https://images.ala.org.au/image/proxyImage?imageId=7ce52c9d-6020-4d64-a6d2-2e3b23ed8497,"The Indianmeal moth, also spelled Indian meal moth and Indian-meal moth, is a pyraloid moth of the family Pyralidae. Alternative common names are hanger-downers, weevil moth, pantry moth, flour moth or grain moth. The almond moth and the raisin moth are commonly confused with the Indian-meal moth due to similar food sources and appearance…"
Callipepla californica,https://biodiversity.org.au/afd/taxa/30ba8ae7-b261-459f-822e-aa1f3500e510,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,California Quail,5,,,,,https://images.ala.org.au/image/proxyImage?imageId=36acf651-e776-418f-bddf-4bcb9e2cd86f,"The California quail, also known as the California valley quail or Valley quail, is a small ground-dwelling bird in the New World quail family. These birds have a curving crest, plume or topknot made of six feathers, that droops forward: black in males and brown in females; the flanks are brown with white streaks…"
Bruchus pisorum,https://biodiversity.org.au/afd/taxa/fb286603-6961-410a-8267-283d9954a827,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Bruchus,,2,,,,Y,https://images.ala.org.au/image/proxyImage?imageId=2a1cd673-da91-4b8a-af12-aaefd5ec66f9,"Bruchus pisorum, known generally as pea weevil, is a species of leaf beetle in the family Chrysomelidae. Other common names include the pea beetle and pea seed beetle. It is found in Europe and Northern Asia, North America, and temperate Asia."
Hemiptarsenus varicornis,https://biodiversity.org.au/afd/taxa/60c48259-65d7-444b-86a5-af3040560ed0,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,Hemiptarsenus,Parasitoid Wasp,10,,,,,https://images.ala.org.au/image/proxyImage?imageId=329033ae-06c8-44de-9ea3-ccad27e82d5f,
Encarsia formosa,https://biodiversity.org.au/afd/taxa/9e808a5c-9afb-4527-a469-efcb2ec1aa91,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,Encarsia,Greenhouse Whitefly Parasite Wasp,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=16d5dc65-13f4-435f-afff-d838fe234c0c,"Encarsia formosa is a species of chalcidoid wasp and a well known parasitoid of greenhouse whitefly, one of the first to be used commercially for biological pest control, from the 1920s. Its use fell with commercial pesticides in the 1940s, but rose again from the 1970s."
Ulex europaeus,https://id.biodiversity.org.au/node/apni/2912707,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Ulex,Gorse,14075,,,Y,,https://images.ala.org.au/image/proxyImage?imageId=62a33e62-baa5-45d4-a708-3743ed3ac31b,"Ulex europaeus, commonly known as gorse, common gorse, furze or whin, is a species of flowering plant native to Western Europe."
Danaus plexippus,https://biodiversity.org.au/afd/taxa/127ae005-62ed-4868-b947-b1a981d5e579,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Wanderer,392,,,,,https://images.ala.org.au/image/proxyImage?imageId=38a14eca-fe0a-4b47-b471-13c6384109de,"The monarch butterfly or simply monarch is a milkweed butterfly in the family Nymphalidae. Other common names, depending on region, include milkweed, common tiger, wanderer, and black-veined brown. It is among the most familiar of North American butterflies and an iconic pollinator, although it is not an especially effective pollinator of milkweeds…"
Chrysodeixis argentifera,https://biodiversity.org.au/afd/taxa/22809552-d235-43fc-a2ce-6db8136c13bf,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Chrysodeixis,Tobacco Looper Moth,691,,,,,https://images.ala.org.au/image/proxyImage?imageId=42819376-394e-49de-8982-ae0666b791cb,"Chrysodeixis argentifera, the tobacco looper, is a moth of the family Noctuidae. It is found in Australia and New Zealand."
Lygocoris pabulinus,ALA_DR22913_1889,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Lygocoris,,2,,,,,https://images.ala.org.au/image/proxyImage?imageId=dd8cc56f-1644-4a94-b479-18d8528c67fd,"Lygocoris pabulinus, also known as the common green capsid, is a Holarctic species of bug from the family Miridae which can be found throughout Europe. It is an adventive species in North America. Lygocoris pabulinus feeds on a variety of plants."
Phyllotreta undulata,https://biodiversity.org.au/afd/taxa/d164f51f-b149-40ad-b64d-cfa160919254,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Phyllotreta,,14,,,,,https://images.ala.org.au/image/proxyImage?imageId=16236e31-f4c6-4b76-8541-83e7b4bed751,"Phyllotreta undulata, known generally as the small striped flea beetle or turnip flea beetle, is a species of flea beetle in the family Chrysomelidae. It is found in Australia, Europe and Northern Asia, North America, and Oceania."
Nysius vinitor,https://biodiversity.org.au/afd/taxa/45506d3a-f0a9-42d4-8b0f-3af63ebf22a1,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Nysius,Rutherglen Bug,37,,,,,https://images.ala.org.au/image/proxyImage?imageId=ae876491-1089-4447-bf90-c7b376aad428,
Spoladea recurvalis,https://biodiversity.org.au/afd/taxa/43adf129-76b1-4e81-9593-cd4f5ac7c829,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Spoladea,,22,,,,,https://images.ala.org.au/image/proxyImage?imageId=0e674d1e-124b-4425-87ca-9b670abfa1cb,"Spoladea recurvalis, the beet webworm moth or Hawaiian beet webworm moth, is a species of moth of the family Crambidae. It is found worldwide, but mainly in the tropics."
Deroceras reticulatum,https://biodiversity.org.au/afd/taxa/b64598e7-6af6-4d57-9c8c-13e11a4ba705,Animalia,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,Deroceras,Grey Field Slug,320,,,,,https://images.ala.org.au/image/proxyImage?imageId=2d7cff03-f2d8-4ca1-9810-bc9edd1d2dd4,"Deroceras reticulatum, common names the ""grey field slug"", ""grey garden slug"", and ""milky slug"", is a species of small air-breathing land slug, a terrestrial pulmonate gastropod mollusc in the family Agriolimacidae. This species is an important agricultural pest."
Ametastegia glabrata,https://biodiversity.org.au/afd/taxa/22cc69ad-a62c-49ef-828d-df938070fd00,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Ametastegia,Dock Sawfly,6,,,,,https://images.ala.org.au/image/proxyImage?imageId=18f496d9-8ae2-49b3-9451-345566e138c6,"Ametastegia glabrata, known generally as the dock sawfly or dock false-worm, is a species of common sawfly in the family Tenthredinidae. It is found in Europe."
Plutella xylostella,https://biodiversity.org.au/afd/taxa/0e526884-3eb4-490c-9362-3eb8065ee0d4,Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutella,Diamondback Moth,588,,,,,https://images.ala.org.au/image/proxyImage?imageId=43c97f1c-4d62-4974-90df-1a9755b3420e,"The diamondback moth, sometimes called the cabbage moth, is a moth species of the family Plutellidae and genus Plutella. The small, grayish-brown moth sometimes has a cream-colored band that forms a diamond along its back. The species may have originated in Europe, South Africa, or the Mediterranean region, but it has now spread worldwide."
Halmus chalybeus,https://biodiversity.org.au/afd/taxa/ba582d88-8e95-417e-aa67-7fbbea610b44,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Halmus,Steel Blue Lady Beetle,54,,,,,https://images.ala.org.au/image/proxyImage?imageId=84b99b38-598d-48f9-9f0d-0c67b0c4ea4f,"Halmus chalybeus, commonly known as the steelblue ladybird, is a species of ladybird in the beetle family Coccinellidae and the genus Halmus that is native to Australia. Adult and larval steelblue ladybirds eat a variety of small insects, including but not limited to scale insects, psyllids, whitefly and free living gall mites (Eriophyoidea)."
Vespula vulgaris,https://biodiversity.org.au/afd/taxa/48625fbe-4022-402e-ba75-754631915e64,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Common Wasp,68,,,,,https://images.ala.org.au/image/proxyImage?imageId=d00360bf-bcbd-4192-ac7f-dc8f3d6b5b2d,"Vespula vulgaris, known as the common wasp, is a species found in regions that include the United Kingdom, Ireland, Germany, India, China, New Zealand and Australia. It is sometimes known in English as the European wasp, but the same name is used for the species Vespula germanica or German wasp…"
Helicoverpa armigera,https://biodiversity.org.au/afd/taxa/cbe7e5f3-df5d-43d6-9e39-d4fdadd8112f,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Helicoverpa,Corn Earworm Moth,150,,,,Y,https://images.ala.org.au/image/proxyImage?imageId=d4127687-e2f5-4a6a-afb8-f8ce0978eb41,"Helicoverpa armigera is a species of Lepidoptera in the family Noctuidae. It is known as the cotton bollworm, corn earworm, Old World (African) bollworm, or scarce bordered straw. The larvae feed on a wide range of plants, including many important cultivated crops. It is a major pest in cotton and one of the most polyphagous and cosmopolitan pest species…"
Brevicoryne brassicae,https://biodiversity.org.au/afd/taxa/de95fe29-68ed-42ab-a448-602b1e2299a1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brevicoryne,Cabbage Aphid,47,,,,,https://images.ala.org.au/image/proxyImage?imageId=eb415e66-d0b5-4ab0-82bc-a0446c89d494,"Brevicoryne brassicae, commonly known as the cabbage aphid or cabbage aphis, is a destructive aphid native to Europe that is now found in many other areas of the world. The aphids feed on many varieties of produce, including cabbage, broccoli (especially), Brussels sprouts, cauliflower and many other members of the genus Brassica, but do not feed on plants outside of the family Brassicaceae…"
Tenebrio molitor,https://biodiversity.org.au/afd/taxa/cd821220-2f8b-4be3-a23b-f4e3e1564e38,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tenebrio,Yellow Mealworm,33,,,,,https://images.ala.org.au/image/proxyImage?imageId=b1546750-d5f1-43c1-b266-892cad4a3644,"Mealworms are the larval form of the yellow mealworm beetle, Tenebrio molitor, a species of darkling beetle."
Leuroperna sera,https://biodiversity.org.au/afd/taxa/55acf4d2-0d1e-4ae1-bbd8-f68e80d32c64,Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,Leuroperna,,47,,,,,https://images.ala.org.au/image/proxyImage?imageId=a1c9849f-8e86-4cf9-8395-59bc24ffc139,"Leuroperna sera is a moth of the family Plutellidae first described by Edward Meyrick in 1885. It is found in Japan, Taiwan, Vietnam, Indonesia, India, Sri Lanka, Australia, and New Zealand."
Hellula undalis,https://biodiversity.org.au/afd/taxa/ee1c553d-4e1c-4b82-99e3-9c8f5bcb2949,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Hellula,,3,,,,,https://images.ala.org.au/image/proxyImage?imageId=f8204671-29e3-45e3-a980-430b60313bcf,"Hellula undalis, the cabbage webworm or Old World webworm, is a moth of the family Crambidae. It is a widespread species which is found from Europe across Asia to the Pacific. It was first described from Italy but it is a tropical or subtropical species only occasional in Europe."
