Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2.40,1.29,0.77,0.65,1.78,1.32,0.68,-0.13,1.20,1.99,1.58,0.97
2015,0.64,1.79,-0.98,-0.72,0.19,0.00,-0.30,-0.16,0.29,4.14,1.72,3.08
2016,1.56,0.74,2.43,1.65,1.58,0.32,1.20,0.54,0.27,-0.51,-0.08,1.40
2017,1.54,-0.17,2.82,0.56,-0.12,-0.34,0.51,-0.22,0.52,1.34,3.07,1.51
2018,2.77,1.10,0.71,2.22,0.56,0.00,0.79,0.10,-0.15,1.70,0.87,3.11
2019,3.95,0.59,1.25,1.22,0.70,0.59,1.37,-0.44,0.02,1.27,-0.15,2.26
2020,0.94,0.08,-0.09,-0.39,-0.77,-0.01,0.27,-0.04,1.29,1.07,3.14,-0.19
2021,0.60,-0.70,-0.61,-0.16,0.31,1.05,0.69,0.96,0.95,-0.30,-0.28,0.71
2022,2.78,0.12,1.08,1.21,0.23,0.28,-0.02,0.85,0.09,0.36,-1.11,-0.27
2023,1.04,-0.24,-0.02,-0.08,-0.63,1.23,1.24,1.00,2.20,0.17,1.27,1.17
2024,1.03,1.02,1.71,-0.77,0.25,0.02,0.48,2.46,0.99,1.46,2.34,2.01
2025,1.71,1.59,2.56,2.37,0.76,-0.29,0.86,0.33,,,,
